Name,Item Number,Item Description,Posting Group,Product Group Code
Company BV,XYZ0074,Industrial Component V3,X98135/,3002
Company BV,XYZ0075,Industrial Component W3,X98135/,3002
Company BV,XYZ0076,Industrial Component X3,X98135/,3002
Company BV,XYZ0077,Industrial Component Y3,X98135/,3002
Company BV,XYZ0078,Industrial Component Z3,X98135/,3002
Company BV,XYZ0079,Industrial Component A4,X98135/,3002
Company BV,XYZ0080,Industrial Component B4,X98135/,3002
Company BV,XYZ0081,Industrial Component C4,X98135/,3002
Company BV,XYZ0082,Industrial Component D4,X98135/,3002
Company BV,XYZ0083,Industrial Component E4,X98135/,3002
Company BV,XYZ0084,Industrial Component F4,X98135/,3002
Company BV,XYZ0085,Industrial Component G4,X98135/,3002
Company BV,XYZ0086,Industrial Component H4,X98135/,3002
Company BV,XYZ0087,Industrial Component I4,X98135/,3002
Company BV,XYZ0088,Industrial Component J4,X98135/,3002
Company BV,XYZ0089,Industrial Component K4,X98135/,3002
Company BV,XYZ0090,Industrial Component L4,X98135/,3002
Company Iberia,XYZ0001,Industrial Component A1,X98135/,3002
Company Iberia,XYZ0002,Industrial Component B1,X98135/,3002
Company Iberia,XYZ0003,Industrial Component C1,X98135/,3002
Company Iberia,XYZ0004,Industrial Component D1,X98135/,3002
Company Iberia,XYZ0005,Industrial Component E1,X98135/,3002
Company Iberia,XYZ0006,Industrial Component F1,X98135/,3002
Company Iberia,XYZ0007,Industrial Component G1,X98135/,3002
Company Iberia,XYZ0008,Industrial Component H1,X98135/,3002
Company Iberia,XYZ0009,Industrial Component I1,X98135/,3002
Company Iberia,XYZ0010,Industrial Component J1,X98135/,3002
Company Iberia,XYZ0011,Industrial Component K1,X98135/,3002
Company Iberia,XYZ0012,Industrial Component L1,X98135/,3002
Company Iberia,XYZ0013,Industrial Component M1,X98135/,3002
Company Iberia,XYZ0014,Industrial Component N1,X98135/,3002
Company Iberia,XYZ0015,Industrial Component O1,X98135/,3002
Company Iberia,XYZ0016,Industrial Component P1,X98135/,3002
Company Iberia,XYZ0017,Industrial Component Q1,X98135/,3002
Company Iberia,XYZ0018,Industrial Component R1,X98135/,3002
Company Iberia,XYZ0019,Industrial Component S1,X98135/,3002
Company Iberia,XYZ0020,Industrial Component T1,X98135/,3002
Company Iberia,XYZ0021,Industrial Component U1,X98135/,3002
Company Iberia,XYZ0022,Industrial Component V1,X98135/,3002
Company Iberia,XYZ0023,Industrial Component W1,X98135/,3002
Company Iberia,XYZ0024,Industrial Component X1,X98135/,3002
Company Iberia,XYZ0025,Industrial Component Y1,X98135/,3002
Company Iberia,XYZ0026,Industrial Component Z1,X98135/,3002
Company Iberia,XYZ0027,Industrial Component A2,X98135/,3002
Company Iberia,XYZ0028,Industrial Component B2,X98135/,3002
Company Iberia,XYZ0029,Industrial Component C2,X98135/,3002
Company Iberia,XYZ0030,Industrial Component D2,X98135/,3002
Company Iberia,XYZ0031,Industrial Component E2,X98135/,3002
Company Iberia,XYZ0032,Industrial Component F2,X98135/,3002
Company Iberia,XYZ0033,Industrial Component G2,X98135/,3002
Company Iberia,XYZ0034,Industrial Component H2,X98135/,3002
Company Iberia,XYZ0035,Industrial Component I2,X98135/,3002
Company Iberia,XYZ0036,Industrial Component J2,X98135/,3002
Company Iberia,XYZ0037,Industrial Component K2,X98135/,3002
Company Iberia,XYZ0038,Industrial Component L2,X98135/,3002
Company Iberia,XYZ0039,Industrial Component M2,X98135/,3002
Company Iberia,XYZ0040,Industrial Component N2,X98135/,3002
Company Iberia,XYZ0041,Industrial Component O2,X98135/,3002
Company Iberia,XYZ0042,Industrial Component P2,X98135/,3002
Company Iberia,XYZ0043,Industrial Component Q2,X98135/,3002
Company Iberia,XYZ0044,Industrial Component R2,X98135/,3002
Company Iberia,XYZ0045,Industrial Component S2,X98135/,3002
Company Iberia,XYZ0046,Industrial Component T2,X98135/,3002
Company Iberia,XYZ0047,Industrial Component U2,X98135/,3002
Company Iberia,XYZ0048,Industrial Component V2,X98135/,3002
Company Iberia,XYZ0049,Industrial Component W2,X98135/,3002
Company Iberia,XYZ0050,Industrial Component X2,X98135/,3002
Company Iberia,XYZ0051,Industrial Component Y2,X98135/,3002
Company Iberia,XYZ0052,Industrial Component Z2,X98135/,3002
Company Iberia,XYZ0053,Industrial Component A3,X98135/,3002
Company Iberia,XYZ0054,Industrial Component B3,X98135/,3002
Company Iberia,XYZ0055,Industrial Component C3,X98135/,3002
Company Iberia,XYZ0056,Industrial Component D3,X98135/,3002
Company Iberia,XYZ0057,Industrial Component E3,X98135/,3002
Company Iberia,XYZ0058,Industrial Component F3,X98135/,3002
Company Iberia,XYZ0059,Industrial Component G3,X98135/,3002
Company Iberia,XYZ0060,Industrial Component H3,X98135/,3002
Company Iberia,XYZ0061,Industrial Component I3,X98135/,3002
Company Iberia,XYZ0062,Industrial Component J3,X98135/,3002
Company Iberia,XYZ0063,Industrial Component K3,X98135/,3002
Company Iberia,XYZ0064,Industrial Component L3,X98135/,3002
Company Iberia,XYZ0065,Industrial Component M3,X98135/,3002
Company Iberia,XYZ0066,Industrial Component N3,X98135/,3002
Company Iberia,XYZ0067,Industrial Component O3,X98135/,3002
Company Iberia,XYZ0068,Industrial Component P3,X98135/,3002
Company Iberia,XYZ0069,Industrial Component Q3,X98135/,3002
Company Iberia,XYZ0070,Industrial Component R3,X98135/,3002
Company Iberia,XYZ0071,Industrial Component S3,X98135/,3002
Company Iberia,XYZ0072,Industrial Component T3,X98135/,3002
Company Iberia,XYZ0073,Industrial Component U3,X98135/,3002
Company Iberia,XYZ0074,Industrial Component V3,X98135/,3002
Company Iberia,XYZ0075,Industrial Component W3,X98135/,3002
Company Iberia,XYZ0076,Industrial Component X3,X98135/,3002
Company Iberia,XYZ0077,Industrial Component Y3,X98135/,3002
Company Iberia,XYZ0078,Industrial Component Z3,X98135/,3002
Company Iberia,XYZ0079,Industrial Component A4,X98135/,3002
Company Iberia,XYZ0080,Industrial Component B4,X98135/,3002
Company Iberia,XYZ0081,Industrial Component C4,X98135/,3002
Company Iberia,XYZ0082,Industrial Component D4,X98135/,3002
Company Iberia,XYZ0083,Industrial Component E4,X98135/,3002
Company Iberia,XYZ0084,Industrial Component F4,X98135/,3002
Company Iberia,XYZ0085,Industrial Component G4,X98135/,3002
Company Iberia,XYZ0086,Industrial Component H4,X98135/,3002
Company Iberia,XYZ0087,Industrial Component I4,X98135/,3002
Company Iberia,XYZ0088,Industrial Component J4,X98135/,3002
Company Iberia,XYZ0089,Industrial Component K4,X98135/,3002
Company Iberia,XYZ0090,Industrial Component L4,X98135/,3002
Company Italia,XYZ0001,Industrial Component A1,X98135/,3002
Company Italia,XYZ0002,Industrial Component B1,X98135/,3002
Company Italia,XYZ0003,Industrial Component C1,X98135/,3002
Company Italia,XYZ0004,Industrial Component D1,X98135/,3002
Company Italia,XYZ0005,Industrial Component E1,X98135/,3002
Company Italia,XYZ0006,Industrial Component F1,X98135/,3002
Company Italia,XYZ0007,Industrial Component G1,X98135/,3002
Company Italia,XYZ0008,Industrial Component H1,X98135/,3002
Company Italia,XYZ0009,Industrial Component I1,X98135/,3002
Company Italia,XYZ0010,Industrial Component J1,X98135/,3002
Company Italia,XYZ0011,Industrial Component K1,X98135/,3002
Company Italia,XYZ0012,Industrial Component L1,X98135/,3002
Company Italia,XYZ0013,Industrial Component M1,X98135/,3002
Company Italia,XYZ0014,Industrial Component N1,X98135/,3002
Company Italia,XYZ0015,Industrial Component O1,X98135/,3002
Company Italia,XYZ0016,Industrial Component P1,X98135/,3002
Company Italia,XYZ0017,Industrial Component Q1,X98135/,3002
Company Italia,XYZ0018,Industrial Component R1,X98135/,3002
Company Italia,XYZ0019,Industrial Component S1,X98135/,3002
Company Italia,XYZ0020,Industrial Component T1,X98135/,3002
Company Italia,XYZ0021,Industrial Component U1,X98135/,3002
Company Italia,XYZ0022,Industrial Component V1,X98135/,3002
Company Italia,XYZ0023,Industrial Component W1,X98135/,3002
Company Italia,XYZ0024,Industrial Component X1,X98135/,3002
Company Italia,XYZ0025,Industrial Component Y1,X98135/,3002
Company Italia,XYZ0026,Industrial Component Z1,X98135/,3002
Company Italia,XYZ0027,Industrial Component A2,X98135/,3002
Company Italia,XYZ0028,Industrial Component B2,X98135/,3002
Company Italia,XYZ0029,Industrial Component C2,X98135/,3002
Company Italia,XYZ0030,Industrial Component D2,X98135/,3002
Company Italia,XYZ0031,Industrial Component E2,X98135/,3002
Company Italia,XYZ0032,Industrial Component F2,X98135/,3002
Company Italia,XYZ0033,Industrial Component G2,X98135/,3002
Company Italia,XYZ0034,Industrial Component H2,X98135/,3002
Company Italia,XYZ0035,Industrial Component I2,X98135/,3002
Company Italia,XYZ0036,Industrial Component J2,X98135/,3002
Company Italia,XYZ0037,Industrial Component K2,X98135/,3002
Company Italia,XYZ0038,Industrial Component L2,X98135/,3002
Company Italia,XYZ0039,Industrial Component M2,X98135/,3002
Company Italia,XYZ0040,Industrial Component N2,X98135/,3002
Company Italia,XYZ0041,Industrial Component O2,X98135/,3002
Company Italia,XYZ0042,Industrial Component P2,X98135/,3002
Company Italia,XYZ0043,Industrial Component Q2,X98135/,3002
Company Italia,XYZ0044,Industrial Component R2,X98135/,3002
Company Italia,XYZ0045,Industrial Component S2,X98135/,3002
Company Italia,XYZ0046,Industrial Component T2,X98135/,3002
Company Italia,XYZ0047,Industrial Component U2,X98135/,3002
Company Italia,XYZ0048,Industrial Component V2,X98135/,3002
Company Italia,XYZ0049,Industrial Component W2,X98135/,3002
Company Italia,XYZ0050,Industrial Component X2,X98135/,3002
Company Italia,XYZ0051,Industrial Component Y2,X98135/,3002
Company Italia,XYZ0052,Industrial Component Z2,X98135/,3002
Company Italia,XYZ0053,Industrial Component A3,X98135/,3002
Company Italia,XYZ0054,Industrial Component B3,X98135/,3002
Company Italia,XYZ0055,Industrial Component C3,X98135/,3002
Company Italia,XYZ0056,Industrial Component D3,X98135/,3002
Company Italia,XYZ0057,Industrial Component E3,X98135/,3002
Company Italia,XYZ0058,Industrial Component F3,X98135/,3002
Company Italia,XYZ0059,Industrial Component G3,X98135/,3002
Company Italia,XYZ0060,Industrial Component H3,X98135/,3002
Company Italia,XYZ0061,Industrial Component I3,X98135/,3002
Company Italia,XYZ0062,Industrial Component J3,X98135/,3002
Company Italia,XYZ0063,Industrial Component K3,X98135/,3002
Company Italia,XYZ0064,Industrial Component L3,X98135/,3002
Company Italia,XYZ0065,Industrial Component M3,X98135/,3002
Company Italia,XYZ0066,Industrial Component N3,X98135/,3002
Company Italia,XYZ0067,Industrial Component O3,X98135/,3002
Company Italia,XYZ0068,Industrial Component P3,X98135/,3002
Company Italia,XYZ0069,Industrial Component Q3,X98135/,3002
Company Italia,XYZ0070,Industrial Component R3,X98135/,3002
Company Italia,XYZ0071,Industrial Component S3,X98135/,3002
Company Italia,XYZ0072,Industrial Component T3,X98135/,3002
Company Italia,XYZ0073,Industrial Component U3,X98135/,3002
Company Italia,XYZ0074,Industrial Component V3,X98135/,3002
Company Italia,XYZ0075,Industrial Component W3,X98135/,3002
Company Italia,XYZ0076,Industrial Component X3,X98135/,3002
Company Italia,XYZ0077,Industrial Component Y3,X98135/,3002
Company Italia,XYZ0078,Industrial Component Z3,X98135/,3002
Company Italia,XYZ0079,Industrial Component A4,X98135/,3002
Company Italia,XYZ0080,Industrial Component B4,X98135/,3002
Company Italia,XYZ0081,Industrial Component C4,X98135/,3002
Company Italia,XYZ0082,Industrial Component D4,X98135/,3002
Company Italia,XYZ0083,Industrial Component E4,X98135/,3002
Company Italia,XYZ0084,Industrial Component F4,X98135/,3002
Company Italia,XYZ0085,Industrial Component G4,X98135/,3002
Company Italia,XYZ0086,Industrial Component H4,X98135/,3002
Company Italia,XYZ0087,Industrial Component I4,X98135/,3002
Company Italia,XYZ0088,Industrial Component J4,X98135/,3002
Company Italia,XYZ0089,Industrial Component K4,X98135/,3002
Company Italia,XYZ0090,Industrial Component L4,X98135/,3002
Company Limited,XYZ0001,Industrial Component A1,X98135/,3002
Company Limited,XYZ0002,Industrial Component B1,X98135/,3002
Company Limited,XYZ0003,Industrial Component C1,X98135/,3002
Company Limited,XYZ0004,Industrial Component D1,X98135/,3002
Company Limited,XYZ0005,Industrial Component E1,X98135/,3002
Company Limited,XYZ0006,Industrial Component F1,X98135/,3002
Company Limited,XYZ0007,Industrial Component G1,X98135/,3002
Company Limited,XYZ0008,Industrial Component H1,X98135/,3002
Company Limited,XYZ0009,Industrial Component I1,X98135/,3002
Company Limited,XYZ0010,Industrial Component J1,X98135/,3002
Company Limited,XYZ0011,Industrial Component K1,X98135/,3002
Company Limited,XYZ0012,Industrial Component L1,X98135/,3002
Company Limited,XYZ0013,Industrial Component M1,X98135/,3002
Company Limited,XYZ0014,Industrial Component N1,X98135/,3002
Company Limited,XYZ0015,Industrial Component O1,X98135/,3002
Company Limited,XYZ0016,Industrial Component P1,X98135/,3002
Company Limited,XYZ0017,Industrial Component Q1,X98135/,3002
Company Limited,XYZ0018,Industrial Component R1,X98135/,3002
Company Limited,XYZ0019,Industrial Component S1,X98135/,3002
Company Limited,XYZ0020,Industrial Component T1,X98135/,3002
Company Limited,XYZ0021,Industrial Component U1,X98135/,3002
Company Limited,XYZ0022,Industrial Component V1,X98135/,3002
Company Limited,XYZ0023,Industrial Component W1,X98135/,3002
Company Limited,XYZ0024,Industrial Component X1,X98135/,3002
Company Limited,XYZ0025,Industrial Component Y1,X98135/,3002
Company Limited,XYZ0026,Industrial Component Z1,X98135/,3002
Company Limited,XYZ0027,Industrial Component A2,X98135/,3002
Company Limited,XYZ0028,Industrial Component B2,X98135/,3002
Company Limited,XYZ0029,Industrial Component C2,X98135/,3002
Company Limited,XYZ0030,Industrial Component D2,X98135/,3002
Company Limited,XYZ0031,Industrial Component E2,X98135/,3002
Company Limited,XYZ0032,Industrial Component F2,X98135/,3002
Company Limited,XYZ0033,Industrial Component G2,X98135/,3002
Company Limited,XYZ0034,Industrial Component H2,X98135/,3002
Company Limited,XYZ0035,Industrial Component I2,X98135/,3002
Company Limited,XYZ0036,Industrial Component J2,X98135/,3002
Company Limited,XYZ0037,Industrial Component K2,X98135/,3002
Company Limited,XYZ0038,Industrial Component L2,X98135/,3002
Company Limited,XYZ0039,Industrial Component M2,X98135/,3002
Company Limited,XYZ0040,Industrial Component N2,X98135/,3002
Company Limited,XYZ0041,Industrial Component O2,X98135/,3002
Company Limited,XYZ0042,Industrial Component P2,X98135/,3002
Company Limited,XYZ0043,Industrial Component Q2,X98135/,3002
Company Limited,XYZ0044,Industrial Component R2,X98135/,3002
Company Limited,XYZ0045,Industrial Component S2,X98135/,3002
Company Limited,XYZ0046,Industrial Component T2,X98135/,3002
Company Limited,XYZ0047,Industrial Component U2,X98135/,3002
Company Limited,XYZ0048,Industrial Component V2,X98135/,3002
Company Limited,XYZ0049,Industrial Component W2,X98135/,3002
Company Limited,XYZ0050,Industrial Component X2,X98135/,3002
Company Limited,XYZ0051,Industrial Component Y2,X98135/,3002
Company Limited,XYZ0052,Industrial Component Z2,X98135/,3002
Company Limited,XYZ0053,Industrial Component A3,X98135/,3002
Company Limited,XYZ0054,Industrial Component B3,X98135/,3002
Company Limited,XYZ0055,Industrial Component C3,X98135/,3002
Company Limited,XYZ0056,Industrial Component D3,X98135/,3002
Company Limited,XYZ0057,Industrial Component E3,X98135/,3002
Company Limited,XYZ0058,Industrial Component F3,X98135/,3002
Company Limited,XYZ0059,Industrial Component G3,X98135/,3002
Company Limited,XYZ0060,Industrial Component H3,X98135/,3002
Company Limited,XYZ0061,Industrial Component I3,X98135/,3002
Company Limited,XYZ0062,Industrial Component J3,X98135/,3002
Company Limited,XYZ0063,Industrial Component K3,X98135/,3002
Company Limited,XYZ0064,Industrial Component L3,X98135/,3002
Company Limited,XYZ0065,Industrial Component M3,X98135/,3002
Company Limited,XYZ0066,Industrial Component N3,X98135/,3002
Company Limited,XYZ0067,Industrial Component O3,X98135/,3002
Company Limited,XYZ0068,Industrial Component P3,X98135/,3002
Company Limited,XYZ0069,Industrial Component Q3,X98135/,3002
Company Limited,XYZ0070,Industrial Component R3,X98135/,3002
Company Limited,XYZ0071,Industrial Component S3,X98135/,3002
Company Limited,XYZ0072,Industrial Component T3,X98135/,3002
Company Limited,XYZ0073,Industrial Component U3,X98135/,3002
Company Limited,XYZ0074,Industrial Component V3,X98135/,3002
Company Limited,XYZ0075,Industrial Component W3,X98135/,3002
Company Limited,XYZ0076,Industrial Component X3,X98135/,3002
Company Limited,XYZ0077,Industrial Component Y3,X98135/,3002
Company Limited,XYZ0078,Industrial Component Z3,X98135/,3002
Company Limited,XYZ0079,Industrial Component A4,X98135/,3002
Company Limited,XYZ0080,Industrial Component B4,X98135/,3002
Company Limited,XYZ0081,Industrial Component C4,X98135/,3002
Company Limited,XYZ0082,Industrial Component D4,X98135/,3002
Company Limited,XYZ0083,Industrial Component E4,X98135/,3002
Company Limited,XYZ0084,Industrial Component F4,X98135/,3002
Company Limited,XYZ0085,Industrial Component G4,X98135/,3002
Company Limited,XYZ0086,Industrial Component H4,X98135/,3002
Company Limited,XYZ0087,Industrial Component I4,X98135/,3002
Company Limited,XYZ0088,Industrial Component J4,X98135/,3002
Company Limited,XYZ0089,Industrial Component K4,X98135/,3002
Company Limited,XYZ0090,Industrial Component L4,X98135/,3002
Company A/S,XYZ0091,Industrial Component M4,X98135/,3002
Company A/S,XYZ0092,Industrial Component N4,X98135/,3002
Company A/S,XYZ0093,Industrial Component O4,X98135/,3002
Company A/S,XYZ0094,Industrial Component P4,X98135/,3002
Company A/S,XYZ0095,Industrial Component Q4,X98135/,3002
Company A/S,XYZ0096,Industrial Component R4,X98135/,3002
Company A/S,XYZ0097,Industrial Component S4,X98135/,3002
Company A/S,XYZ0098,Industrial Component T4,X98135/,3002
Company A/S,XYZ0099,Industrial Component U4,X98135/,3002
Company A/S,XYZ0100,Industrial Component V4,X98135/,3002
Company A/S,XYZ0101,Industrial Component W4,X98135/,3002
Company A/S,XYZ0102,Industrial Component X4,X98135/,3002
Company A/S,XYZ0103,Industrial Component Y4,X98135/,3002
